item_id,order_id,product_id,qty,promotion_id,cost
1,1,19,7,NULL,112
2,1,6,3,NULL,42
3,1,15,6,NULL,78
4,1,14,10,NULL,130
5,1,16,7,NULL,140
6,1,17,5,NULL,100
7,1,16,9,NULL,162
8,1,15,8,NULL,144
9,2,11,1,NULL,6
10,2,5,9,NULL,153
11,2,11,7,NULL,49
12,2,15,2,NULL,28
13,2,14,6,NULL,108
14,2,20,9,NULL,126
15,2,14,7,NULL,56
16,2,15,1,NULL,17
17,3,18,2,NULL,24
18,3,12,8,NULL,40
19,3,15,5,NULL,95
20,3,17,4,NULL,40
21,3,15,8,NULL,72
22,3,15,8,NULL,128
23,4,16,10,NULL,150
24,4,18,9,NULL,144
25,4,2,7,NULL,105
26,4,2,7,NULL,49
27,4,6,2,NULL,28
28,4,9,6,NULL,84
29,4,8,8,NULL,64
30,4,3,1,NULL,17
31,4,9,3,NULL,24
32,5,12,8,NULL,160
33,5,3,9,NULL,135
34,5,17,10,NULL,180
35,5,20,5,NULL,40
36,5,14,8,NULL,80
37,5,9,1,NULL,10
38,5,18,1,NULL,5
39,5,4,1,NULL,9
40,5,1,4,NULL,44
41,5,16,9,NULL,45
42,6,10,4,NULL,52
43,6,14,8,NULL,80
44,7,14,9,NULL,180
45,8,20,8,NULL,160
46,8,12,8,NULL,112
47,8,2,8,NULL,88
48,8,4,8,NULL,104
49,8,13,3,NULL,18
50,8,12,10,NULL,170
51,9,16,5,NULL,30
52,10,7,6,NULL,66
53,11,12,5,NULL,60
54,12,19,2,NULL,12
55,13,2,6,NULL,84
56,14,15,1,NULL,5
57,15,5,6,NULL,108
58,16,12,5,NULL,55
59,17,2,3,NULL,54
60,18,3,7,NULL,98
61,19,12,6,NULL,90
62,20,7,4,NULL,64
63,21,2,4,NULL,80
64,22,2,7,NULL,63
65,23,20,8,NULL,104
66,24,11,7,NULL,70
67,25,9,10,NULL,130
68,26,18,3,NULL,57
69,26,8,9,NULL,117
70,26,15,1,NULL,7
71,26,9,9,NULL,90
72,26,17,7,NULL,70
73,26,3,10,NULL,140
74,26,2,4,NULL,40
75,26,7,8,NULL,64
76,26,15,8,NULL,56
77,26,16,9,NULL,90
78,26,2,6,NULL,114
79,26,5,7,NULL,35
80,26,5,1,NULL,14
81,26,12,3,NULL,51
82,26,10,7,NULL,70
83,26,19,2,NULL,30
84,26,18,4,NULL,56
85,26,18,5,NULL,40
86,26,19,9,NULL,117
87,26,6,5,NULL,35
88,26,16,6,NULL,54
89,26,20,3,NULL,51
90,26,10,2,NULL,30
91,26,20,7,NULL,77
92,26,4,7,NULL,77
93,27,10,2,NULL,22
94,27,11,4,NULL,44
95,27,18,5,NULL,85
96,27,2,10,NULL,200
97,27,4,6,NULL,78
98,27,17,6,NULL,30
99,27,12,2,NULL,26
100,27,11,9,NULL,180
101,27,10,8,NULL,48
102,27,2,8,1,112
103,27,10,8,NULL,48
104,27,16,10,NULL,120
105,27,9,10,NULL,90
106,27,17,10,NULL,140
107,27,1,6,NULL,66
108,27,7,6,NULL,108
109,27,16,6,NULL,60
110,27,5,4,NULL,72
111,27,16,10,NULL,50
112,27,19,3,NULL,48
113,27,11,5,NULL,85
114,27,14,7,NULL,56
115,27,15,6,NULL,120
116,27,11,6,NULL,54
117,27,1,2,NULL,40
118,27,13,5,NULL,80
119,27,4,3,NULL,51
120,27,2,4,NULL,76
121,27,1,3,NULL,18
122,27,20,3,NULL,21
123,27,4,10,NULL,150
124,27,3,6,NULL,72
125,27,15,10,NULL,80
126,27,6,9,NULL,54
127,27,9,8,NULL,144
128,27,7,4,NULL,20
129,27,11,3,NULL,30
130,27,2,10,NULL,120
131,27,14,3,NULL,15
132,27,11,8,NULL,88
133,27,16,3,NULL,30
134,27,3,10,NULL,90
135,27,9,5,NULL,100
136,27,5,7,NULL,70
137,27,10,10,NULL,120
138,27,3,10,NULL,70
139,27,11,5,NULL,65
140,27,17,6,NULL,114
141,27,4,7,NULL,112
142,27,11,5,NULL,70
143,27,10,4,NULL,24
144,27,19,1,NULL,16
145,27,15,5,NULL,60
146,27,19,1,NULL,20
147,27,2,10,NULL,50
148,27,19,2,NULL,36
149,27,12,9,NULL,162
150,27,1,2,NULL,10
151,27,17,2,NULL,36
152,27,2,7,NULL,35
153,27,1,1,NULL,10
154,27,18,2,3,20
155,27,5,5,NULL,40
156,27,6,5,NULL,30
157,27,20,5,NULL,30
158,27,17,4,4,48
159,27,8,1,NULL,6
160,27,19,5,NULL,70
161,27,16,9,NULL,171
162,27,5,1,NULL,5
163,27,17,7,NULL,126
164,27,9,4,NULL,32
165,27,4,7,5,112
166,27,3,9,NULL,63
167,27,17,10,NULL,150
168,27,9,1,NULL,19
169,27,8,4,NULL,60
170,27,11,5,NULL,100
171,27,14,6,NULL,90
172,27,1,3,NULL,24
173,27,1,10,NULL,110
174,27,8,10,NULL,180
175,27,12,3,NULL,45
176,27,18,4,NULL,68
177,27,1,3,NULL,54
178,27,4,10,NULL,160
179,27,10,1,NULL,17
180,27,19,7,NULL,98
181,27,8,5,NULL,55
182,27,10,7,NULL,91
183,27,17,1,NULL,17
184,27,7,2,NULL,18
185,27,5,3,NULL,51
186,27,10,2,NULL,12
187,27,20,3,NULL,15
188,27,2,7,NULL,35
189,27,8,9,NULL,90
190,27,20,9,NULL,135
191,27,13,5,NULL,100
192,27,5,2,NULL,22
193,27,15,8,NULL,144
194,27,7,4,NULL,76
195,27,4,7,NULL,49
196,27,4,9,NULL,153
197,27,13,1,NULL,10
198,27,10,3,NULL,36
199,27,1,5,NULL,35
200,27,7,10,NULL,140
201,27,18,1,NULL,10
202,27,3,10,NULL,100
203,27,9,6,NULL,30
204,27,8,1,NULL,10
205,27,15,5,NULL,75
206,27,4,7,NULL,77
207,27,14,7,NULL,119
